License plate,Frame no.,Timestamp(seconds)
04-HM-0T,888,74.0
04-HM-DT,892,74.33333333333333
15-TR-NV,900,75.0
1B-TR-NV,904,75.33333333333333
1B-TR-NV,912,76.0
1B-TR-NV,916,76.33333333333333
1B-TR-NV,920,76.66666666666667
1B-TR-NV,924,77.0
1B-TR-NV,928,77.33333333333333
1B-TR-NV,932,77.66666666666667
10-PFJ-8,936,78.0
10-PFJ-8,940,78.33333333333333
10-PFJ-8,944,78.66666666666667
10-PFJ-8,948,79.0
10-PFJ-8,952,79.33333333333333
10-PFJ-8,956,79.66666666666667
10-PFJ-8,960,80.0
10-PFJ-8,964,80.33333333333333
10-PFJ-8,968,80.66666666666667
RM-MM-98,972,81.0
RM-MH-98,976,81.33333333333333
NM-MM-98,980,81.66666666666667
RM-MM-98,984,82.0
RM-MH-98,988,82.33333333333333
RM-MM-98,992,82.66666666666667
NM-MM-98,996,83.0
NM-MH-98,1000,83.33333333333333
RM-MM-98,1004,83.66666666666667
BS-DJ-49,1044,87.0
BS-DJ-49,1048,87.33333333333333
BS-DJ-49,1052,87.66666666666667
BS-DJ-49,1056,88.0
BS-DJ-49,1060,88.33333333333333
BS-DJ-49,1064,88.66666666666667
BS-0J-49,1068,89.0
BS-DJ-49,1072,89.33333333333333
BS-0J-49,1076,89.66666666666667
41-JS-SB,1080,90.0
41-JS-SB,1084,90.33333333333333
41-TS-SB,1088,90.66666666666667
41-JS-SB,1092,91.0
4T-JS-SB,1096,91.33333333333333
41-JS-SB,1100,91.66666666666667
41-JS-SB,1104,92.0
41-JS-SB,1108,92.33333333333333
41-JS-SB,1112,92.66666666666667
41-JS-SB,1116,93.0
41-JS-SB,1120,93.33333333333333
41-JS-SB,1124,93.66666666666667
41-JS-SB,1128,94.0
41-JS-SB,1132,94.33333333333333
46-1S-XV,1156,96.33333333333333
46-LS-KV,1160,96.66666666666667
46-LS-KV,1164,97.0
46-LS-KV,1168,97.33333333333333
46-LS-KV,1172,97.66666666666667
46-LS-KV,1176,98.0
46-LS-KV,1180,98.33333333333333
46-LS-XV,1184,98.66666666666667
46-LJG-T,1208,100.66666666666667
46-LJG-1,1212,101.0
46-LJG-1,1216,101.33333333333333
46-LJG-1,1220,101.66666666666667
46-LJG-1,1224,102.0
46-LJG-T,1228,102.33333333333333
46-LJG-T,1232,102.66666666666667
H1-FP-34,1252,104.33333333333333
H1-FP-34,1256,104.66666666666667
H1-FP-34,1260,105.0
H1-FP-34,1264,105.33333333333333
HL-FP-34,1268,105.66666666666667
H1-FP-34,1272,106.0
H1-FP-34,1276,106.33333333333333
HL-FP-34,1280,106.66666666666667
51-LN-BN,1304,108.66666666666667
51-LN-BN,1308,109.0
51-LN-BN,1312,109.33333333333333
S1-LR-BN,1316,109.66666666666667
S1-L4-4N,1324,110.33333333333333
S1-L4-4N,1328,110.66666666666667
S1-14-4N,1332,111.0
S1-14-4N,1336,111.33333333333333
19-DG-SF,1360,113.33333333333333
19-DG-SF,1364,113.66666666666667
19-DG-SF,1368,114.0
19-DG-SF,1372,114.33333333333333
19-DG-SF,1376,114.66666666666667
19-DG-SF,1380,115.0
19-DG-SF,1388,115.66666666666667
16-PTG-8,1396,116.33333333333333
16-PTG-8,1400,116.66666666666667
16-PTG-8,1404,117.0
16-PTG-8,1408,117.33333333333333
16-PTG-8,1412,117.66666666666667
16-PTG-8,1416,118.0
16-PTG-8,1420,118.33333333333333
16-PTG-B,1424,118.66666666666667
1S-TP-SH,1444,120.33333333333333
1S-TP-SH,1448,120.66666666666667
1S-TP-SH,1452,121.0
1S-TP-SH,1456,121.33333333333333
1S-TP-SH,1460,121.66666666666667
1S-TP-SH,1464,122.0
1S-TP-SH,1468,122.33333333333333
1S-TP-SH,1472,122.66666666666667
15-TP-SM,1476,123.0
1S-TP-SH,1480,123.33333333333333
1S-TP-SH,1484,123.66666666666667
RZ-ZN-62,1508,125.66666666666667
R2-ZN-62,1512,126.0
61-7X7-9,1572,131.0
6T-XXZ-9,1580,131.66666666666666
6T-XX2-9,1584,132.0
6T-XXZ-9,1588,132.33333333333334
61-XXZ-9,1592,132.66666666666666
61-XXZ-9,1596,133.0
61-XXZ-9,1600,133.33333333333334
6T-XXZ-9,1604,133.66666666666666
77-NF-JK,1616,134.66666666666666
Z3-JJ-JJ,1684,140.33333333333334
SV-F7-6T,1688,140.66666666666666
SV-FZ-6J,1696,141.33333333333334
0B-JKJ-2,1716,143.0
0B-JKJ-2,1720,143.33333333333334
94-JKJ-Z,1728,144.0
94-JKJ-2,1732,144.33333333333334
0B-JKJ-Z,1736,144.66666666666666
08-TKT-7,1740,145.0
0B-JKJ-Z,1744,145.33333333333334
0B-JKJ-Z,1748,145.66666666666666
J6-N2-J1,1752,146.0
38-N2-JT,1756,146.33333333333334
38-NZ-JT,1760,146.66666666666666
38-M2-JT,1764,147.0
NF-G0-S8,1764,147.0
38-M2-JT,1768,147.33333333333334
38-M2-JT,1772,147.66666666666666
38-MZ-JT,1780,148.33333333333334
38-MZ-JT,1784,148.66666666666666
